Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.094,18.8,5,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.253,42.166666666666664,1,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.397,26.46666666666667,5,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,0.729,40.5,5,0,0,9,0,0,0,0,1,
Octane-Box2d,9528,5.593,29.90909090909091,5,0,0,0,0,7,6,0,1,
Octane-Code-Load,1527,5.943,297.15,5,3,0,0,0,0,1,0,0,
Octane-Gbemu,11106,34.659,145.62605042016807,5,0,0,8,0,6,7,0,3,
Octane-Earley-Boyer,4683,1.157,28.925,1,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.077,3.0799999999999996,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,12.561,50.649193548387096,5,5,0,5,0,0,4,0,0,
Octane-Raytrace,904,0.515,25.75,5,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.532,7.38888888888889,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.723,10.71049046321526,5,4,0,4,0,0,1,0,0,
SunSpider-3d-Cube,339,0.305,27.727272727272727,0,0,0,1,0,0,0,0,0,
SunSpider-3d-Morph,56,1.075,97.72727272727273,0,0,0,0,0,0,0,0,1,
SunSpider-3d-Raytrace,443,0.332,20.75,5,4,1,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.16,32,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,3.614,451.75,0,0,0,0,0,0,0,0,3,
SunSpider-Access-Nbody,170,0.18,20,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.561,93.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,0.227,56.75,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,0.18,30,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,0.582,145.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.998,142.57142857142856,0,0,0,0,0,0,0,0,1,
SunSpider-Controlflow-Recursive,25,0.01,10,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,0.306,30.599999999999998,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.281,40.142857142857146,0,2,0,1,0,2,1,0,1,
SunSpider-Crypto-SHA1,225,0.385,38.5,0,2,0,1,0,2,1,0,1,
SunSpider-Date-Format-Tofte,300,0.753,53.785714285714285,0,1,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.263,20.230769230769234,4,0,0,0,0,0,5,0,0,
SunSpider-Math-Cordic,101,0.184,26.285714285714285,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.638,63.8,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.01,10,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.025,2.777777777777778,1,0,0,0,0,1,1,0,0,
SunSpider-String-Base64,136,0.664,83,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.923,102.55555555555557,3,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,2.954,105.5,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.25,9.615384615384615,4,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.031,10.333333333333334,0,0,0,0,0,0,0,0,0,
