Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.412,82.39999999999999,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,2.155,307.85714285714283,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,2.989,186.8125,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,69.878,2911.5833333333335,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,81.714,448.97802197802196,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,2.145,119.16666666666667,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,306.077,1354.3230088495575,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,31.907,862.3513513513514,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,40.324,1753.2173913043478,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,72.216,299.65145228215766,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,11.677,583.85,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,6.038,83.86111111111111,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,673.126,456.9762389680923,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,7.158,596.5,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,5.962,542,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,9.016,601.0666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,3.516,879,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.838,1759.7777777777778,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,13.105,1872.142857142857,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,4.665,777.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,3.872,1290.6666666666665,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,5.89,1178,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,3.971,1323.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,9.226,1025.1111111111113,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,8.497,944.1111111111112,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,2.46,351.4285714285714,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,2.536,253.6,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,12.197,762.3124999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,2.158,154.14285714285714,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,6.675,1112.5,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,3.211,321.09999999999997,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.02,20,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.032,3.555555555555556,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,3.617,401.8888888888889,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,3.466,346.6,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,4.537,168.03703703703704,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,2.437,90.25925925925925,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.025,12.5,0,0,0,0,0,0,0,0,0,
