Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.109,21.8,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.276,46,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.547,36.46666666666667,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,6.923,314.6818181818182,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,1.065,5.883977900552486,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,0.042,2.3333333333333335,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,35.569,151.35744680851064,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,5.035,132.5,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.069,2.7600000000000002,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,2.662,10.521739130434781,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,1.686,84.3,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.293,4.069444444444445,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.424,10.094240837696335,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,0.861,71.75,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,1.304,144.8888888888889,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,1.129,75.26666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.667,133.4,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.911,1988.875,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,1.501,187.62499999999997,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.028,4.666666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,1.443,481,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,1.378,275.59999999999997,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,4.004,1000.9999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.044,6.285714285714286,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,1.027,114.11111111111111,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.243,34.714285714285715,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,0.205,22.77777777777778,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,1.563,104.2,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.369,20.5,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,0.74,148,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.162,14.727272727272728,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.019,9.5,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,3.4444444444444446,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,0.607,67.44444444444444,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.582,58.199999999999996,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,0.097,3.5925925925925926,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.413,13.32258064516129,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.024,12,0,0,0,0,0,0,0,0,0,
